location,facilities,
Kuala Lumpur  Bukit Jalil,"Parking, Security, Swimming Pool, Gymnasium, Jogging Track",", "
Kuala Lumpur  Keramat,"Squash Court, Parking, Tennis Court, Lift, Security, Playground, Gymnasium, Minimart, Sauna, Swimming Pool, Barbeque area, Multipurpose hall, Jogging Track",", , "
Kuala Lumpur  Wangsa Maju,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Squash Court, Jogging Track",", , Near KTM/LRT, "
Kuala Lumpur  Wangsa Maju,"Multipurpose hall, Lift, Security, Parking, Playground, Minimart, Jogging Track",", Near KTM/LRT"
Kuala Lumpur  Jalan Ipoh,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Multipurpose hall",
Kuala Lumpur  Sentul,"Playground, Lift, Minimart, Squash Court, Parking, Security, Swimming Pool, Gymnasium, Sauna",
Kuala Lumpur  Kepong,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track, Tennis Court, Squash Court",", , Near KTM/LRT, "
Kuala Lumpur  Kepong,"Parking, Playground, Security, Minimart, Lift",", , Near KTM/LRT"
Kuala Lumpur  Sentul,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track",", "
Kuala Lumpur  Keramat,"Multipurpose hall, Parking, Security, Swimming Pool, Gymnasium",
Kuala Lumpur  Cheras,,
Kuala Lumpur  Bangsar South,,
Kuala Lumpur  Setapak,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Minimart, Multipurpose hall",", , Near KTM/LRT, "
Kuala Lumpur  Setapak,,
Kuala Lumpur  Bukit Jalil,"Security, Parking, Playground, Lift",
Kuala Lumpur  Sri Hartamas,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track, Tennis Court, Squash Court",", , Near KTM/LRT, , "
Kuala Lumpur  Taman Desa,"Barbeque area, Swimming Pool, Tennis Court, Minimart, Playground, Gymnasium, Squash Court, Security, Parking, Sauna",", , , "
Kuala Lumpur  KLCC,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Barbeque area, Multipurpose hall, Jogging Track, Club house",", , Near KTM/LRT, , "
Kuala Lumpur  KL City,"Security, Swimming Pool, Parking, Playground, Gymnasium, Lift",
Kuala Lumpur  Pantai,"Parking, Playground, Minimart, Multipurpose hall, Security, Swimming Pool",
Kuala Lumpur  Cheras,"Jogging Track, Barbeque area, Security, Swimming Pool, Gymnasium, Parking, Playground, Multipurpose hall, Sauna",
Kuala Lumpur  Bukit Bintang,"Security, Playground, Barbeque area, Parking, Sauna, Swimming Pool, Gymnasium, Lift",", Near KTM/LRT, , "
Kuala Lumpur  Desa ParkCity,"Security, Parking, Lift, Playground",", "
Kuala Lumpur  Setapak,"Swimming Pool, Barbeque area, Gymnasium, Multipurpose hall, Parking, Security, Lift, Playground, Jogging Track",", , Near KTM/LRT"
Kuala Lumpur  Taman Melawati,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track, Tennis Court, Squash Court",", , "
Kuala Lumpur  Cheras,,
Kuala Lumpur  Cheras,"Sauna, Playground, Parking, Jogging Track, Barbeque area, Swimming Pool, Club house, Security, Lift, Gymnasium",", , "
Kuala Lumpur  Keramat,"Squash Court, Parking, Tennis Court, Lift, Security, Playground, Gymnasium, Minimart, Sauna, Swimming Pool, Barbeque area, Jogging Track",", , "
Kuala Lumpur  Titiwangsa,"Security, Gymnasium, Playground, Multipurpose hall, Barbeque area, Swimming Pool, Sauna",
Kuala Lumpur  Titiwangsa,"Gymnasium, Jogging Track, Multipurpose hall, Security, Playground, Barbeque area, Swimming Pool",
Kuala Lumpur  Sri Petaling,"Club house, Security, Tennis Court, Gymnasium, Parking, Barbeque area, Sauna, Swimming Pool",
Kuala Lumpur  KLCC,"Gymnasium, Parking, Minimart, Tennis Court, Lift, Playground, Jogging Track, Security, Swimming Pool",", , Near KTM/LRT, "
Kuala Lumpur  Sri Petaling,"Security, Parking, Lift",
Kuala Lumpur  Old Klang Road,"Parking, Security, Lift, Minimart, Multipurpose hall",", Near KTM/LRT"
Kuala Lumpur  Keramat,"Security, Multipurpose hall, Parking, Gymnasium, Swimming Pool",
Kuala Lumpur  Bandar Menjalara,"Parking, Playground, Security, Swimming Pool, Barbeque area, Gymnasium, Multipurpose hall",", "
Kuala Lumpur  Taman Desa,"Parking, Swimming Pool, Squash Court, Security, Minimart, Gymnasium, Sauna, Playground, Tennis Court, Lift",", , "
Kuala Lumpur  Pandan Indah,"Lift, Playground, Minimart, Tennis Court",", , "
Kuala Lumpur  Gombak,,", , "
Kuala Lumpur  Wangsa Maju,"Squash Court, Security, Minimart, Playground, Jogging Track, Barbeque area, Parking, Club house, Gymnasium, Tennis Court, Sauna, Swimming Pool, Lift",
Kuala Lumpur  Cheras,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track, Tennis Court, Squash Court",", , "
Kuala Lumpur  Jalan Ipoh,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Minimart, Barbeque area, Jogging Track",", , Near KTM/LRT, "
Kuala Lumpur  Cheras,"Security, Gymnasium, Parking, Swimming Pool, Lift, Playground, Sauna",", Near KTM/LRT, , "
Kuala Lumpur  OUG,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track, Tennis Court, Squash Court",", , Near KTM/LRT, , "
Kuala Lumpur  Ampang,"Playground, Gymnasium, Jogging Track, Parking",", "
Kuala Lumpur  Jalan Ipoh,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Minimart",", Near KTM/LRT"
Kuala Lumpur  Segambut,"Parking, Swimming Pool, Barbeque area, Sauna, Security, Playground, Gymnasium, Jogging Track, Lift",", , "
Kuala Lumpur  KLCC,"Parking, Security, Lift, Swimming Pool, Gymnasium",
Kuala Lumpur  Taman Desa,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Barbeque area",
Kuala Lumpur  Wangsa Maju,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Barbeque area",
Kuala Lumpur  Ampang,"Playground, Jogging Track, Parking, Gymnasium, Security, Lift, Swimming Pool, Barbeque area",", , "
Kuala Lumpur  Kuchai Lama,"Security, Barbeque area, Swimming Pool, Gymnasium, Jogging Track, Playground, Multipurpose hall, Parking, Lift, Minimart",", , Near KTM/LRT, "
Kuala Lumpur  Kepong,"Security, Parking, Minimart, Sauna, Swimming Pool, Gymnasium, Tennis Court, Jogging Track, Lift, Club house, Playground, Squash Court, Multipurpose hall, Barbeque area",
Kuala Lumpur  Sri Petaling,"Parking, Security, Lift, Playground",", , Near KTM/LRT"
Kuala Lumpur  Taman Desa,"Swimming Pool, Gymnasium, Barbeque area, Parking, Security, Tennis Court, Sauna, Minimart, Club house, Playground, Squash Court, Lift",", , "
Kuala Lumpur  Sentul,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track, Tennis Court, Squash Court",
Kuala Lumpur  KLCC,"Minimart, Club house, Parking, Swimming Pool, Gymnasium, Barbeque area, Security, Playground",", , Near KTM/LRT, "
Kuala Lumpur  Cheras,"Barbeque area, Multipurpose hall, Security, Playground, Jogging Track, Gymnasium, Club house, Parking, Sauna",", , "
Kuala Lumpur  Cheras,"Security, Gymnasium, Parking, Swimming Pool, Lift, Playground, Sauna",", , Near KTM/LRT"
Kuala Lumpur  Keramat,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Barbeque area, Club house, Jogging Track, Multipurpose hall",", , "
Kuala Lumpur  Cheras,,", , Near KTM/LRT, "
Kuala Lumpur  Cheras,"Parking, Security, Swimming Pool, Gymnasium, Playground, Minimart",", , Near KTM/LRT, "
Kuala Lumpur  Sri Damansara,"Playground, Sauna, Club house, Parking, Tennis Court, Squash Court, Lift, Security, Swimming Pool, Minimart, Gymnasium",", , Near KTM/LRT, , "
Kuala Lumpur  Mont Kiara,"Parking, Tennis Court, Playground, Gymnasium, Security, Swimming Pool, Sauna, Multipurpose hall",", , Near KTM/LRT, , "
Kuala Lumpur  Wangsa Maju,"Security, Parking, Playground, Swimming Pool, Lift, Gymnasium",", , Near KTM/LRT, "
Kuala Lumpur  Cheras,"Barbeque area, Parking, Security, Playground, Swimming Pool, Gymnasium, Minimart, Lift",", , "
Kuala Lumpur  Cheras,"Security, Minimart, Lift",", , Near KTM/LRT"
Kuala Lumpur  Jalan Kuching,"Parking, Security, Lift, Multipurpose hall",", , Near KTM/LRT, "
Kuala Lumpur  Setapak,"Club house, Jogging Track",
Kuala Lumpur  Sri Petaling,"Playground, Multipurpose hall, Club house, Swimming Pool, Gymnasium, Security, Jogging Track, Barbeque area",", "
Kuala Lumpur  Old Klang Road,,
Kuala Lumpur  Taman Melawati,"Parking, Security, Swimming Pool, Gymnasium, Playground, Lift, Barbeque area, Multipurpose hall",", , , "
Kuala Lumpur  Desa Petaling,"Security, Jogging Track, Parking, Playground, Swimming Pool, Multipurpose hall, Gymnasium",", , , Near KTM/LRT"
Kuala Lumpur  Sri Petaling,"Swimming Pool, Security, Parking, Gymnasium, Lift, Multipurpose hall",", , Near KTM/LRT, "
Kuala Lumpur  Kuchai Lama,"Gymnasium, Security, Playground, Lift, Parking, Swimming Pool, Multipurpose hall",", , Near KTM/LRT, , "
Kuala Lumpur  Kuchai Lama,"Playground, Sauna, Barbeque area, Multipurpose hall, Minimart, Security, Gymnasium, Lift, Swimming Pool, Parking",", , Near KTM/LRT"
Kuala Lumpur  Cheras,"Parking, Lift, Playground, Minimart",Near KTM/LRT
Kuala Lumpur  Seputeh,"Gymnasium, Multipurpose hall, Jogging Track, Parking, Security, Playground, Swimming Pool, Tennis Court, Barbeque area, Sauna",
Kuala Lumpur  Kepong,"Parking, Security, Lift",
Kuala Lumpur  Cheras,,
Kuala Lumpur  Bukit Jalil,"Security, Playground, Tennis Court, Squash Court, Jogging Track, Parking, Swimming Pool, Club house, Minimart, Gymnasium, Barbeque area, Sauna",", , Near KTM/LRT, , "
Kuala Lumpur  Cheras,"Playground, Barbeque area, Swimming Pool, Tennis Court, Lift, Multipurpose hall, Parking, Security, Jogging Track, Gymnasium",", , Near KTM/LRT, "
Kuala Lumpur  Segambut,"Parking, Barbeque area, Security, Sauna, Squash Court, Club house, Jogging Track, Multipurpose hall, Playground, Swimming Pool, Gymnasium, Minimart, Lift",", , "
Kuala Lumpur  Jalan Ipoh,"Parking, Security, Lift, Playground, Swimming Pool, Minimart, Gymnasium",", , Near KTM/LRT, "
Kuala Lumpur  Old Klang Road,"Playground, Parking, Lift, Security, Gymnasium, Barbeque area, Swimming Pool, Multipurpose hall",", , Near KTM/LRT, "
Kuala Lumpur  Ampang,"Parking, Minimart, Security, Lift",", , "
Kuala Lumpur  Ampang,"Parking, Security, Lift, Swimming Pool, Minimart, Multipurpose hall",", "
Kuala Lumpur  Wangsa Maju,"Security, Playground, Lift, Swimming Pool, Gymnasium, Minimart, Multipurpose hall",", , Near KTM/LRT, , "
Kuala Lumpur  Wangsa Maju,"Security, Playground, Lift, Swimming Pool, Gymnasium, Minimart, Multipurpose hall",", , Near KTM/LRT, , "
Kuala Lumpur  Mont Kiara,"Security, Playground, Swimming Pool, Gymnasium, Sauna, Club house, Parking, Squash Court, Jogging Track, Tennis Court, Barbeque area, Lift",", , "
Kuala Lumpur  Mont Kiara,"Club house, Parking, Security, Playground, Swimming Pool, Sauna, Squash Court, Tennis Court, Jogging Track, Barbeque area, Gymnasium, Lift, Multipurpose hall, Minimart",", , "
Kuala Lumpur  Sentul,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track, Tennis Court, Squash Court",", , Near KTM/LRT, , "
Kuala Lumpur  Sentul,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track, Tennis Court, Squash Court",", , Near KTM/LRT, , "
Kuala Lumpur  KL City,"Lift, Parking",
Kuala Lumpur  Wangsa Maju,"Swimming Pool, Gymnasium, Club house, Minimart, Playground, Jogging Track, Barbeque area, Tennis Court, Squash Court, Parking, Security, Sauna",
Kuala Lumpur  Segambut,"Parking, Lift, Security, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Jogging Track, Club house, Tennis Court, Squash Court",", , "
Kuala Lumpur  Pantai,"Security, Minimart, Playground, Swimming Pool, Multipurpose hall, Parking, Lift, Jogging Track, Club house, Tennis Court, Squash Court, Barbeque area",", Near KTM/LRT, "
Kuala Lumpur  Sentul,"Playground, Minimart, Squash Court, Parking, Security, Swimming Pool, Gymnasium, Lift, Sauna, Barbeque area, Multipurpose hall, Club house, Jogging Track, Tennis Court",
Kuala Lumpur  Kuchai Lama,"Sauna, Swimming Pool, Tennis Court, Parking, Security, Squash Court, Gymnasium, Barbeque area, Minimart, Playground, Lift, Multipurpose hall, Club house, Jogging Track",", , , Near KTM/LRT"
Kuala Lumpur  Wangsa Maju,"Parking, Security, Playground, Gymnasium, Minimart, Swimming Pool",", "
Kuala Lumpur  Cheras,"Gymnasium, Barbeque area, Playground, Lift, Parking, Security, Swimming Pool, Jogging Track",
Kuala Lumpur  Cheras,"Security, Gymnasium, Tennis Court, Parking, Minimart, Playground, Swimming Pool",
Kuala Lumpur  Setapak,"Swimming Pool, Playground, Gymnasium, Sauna, Multipurpose hall, Security, Parking, Lift",", , "
Kuala Lumpur  Pantai,"Security, Minimart, Parking, Playground, Swimming Pool, Multipurpose hall",
Kuala Lumpur  Cheras,"Parking, Playground, Multipurpose hall, Lift, Security, Barbeque area, Gymnasium, Jogging Track, Swimming Pool",", , Near KTM/LRT, "
Kuala Lumpur  Kuchai Lama,"Security, Gymnasium, Lift, Playground, Parking, Swimming Pool, Barbeque area, Sauna, Minimart, Multipurpose hall, Jogging Track","Near KTM/LRT, "
Kuala Lumpur  Wangsa Maju,"Parking, Swimming Pool, Minimart, Playground, Security, Gymnasium, Lift, Multipurpose hall, Tennis Court",", Near KTM/LRT"
Kuala Lumpur  Keramat,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Barbeque area",
Kuala Lumpur  Bangsar South,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Barbeque area",
Kuala Lumpur  Solaris Dutamas,"Playground, Swimming Pool, Jogging Track, Multipurpose hall, Security, Gymnasium",", "
Kuala Lumpur  Kepong,"Sauna, Minimart, Tennis Court, Squash Court, Lift, Barbeque area, Multipurpose hall, Parking, Swimming Pool, Gymnasium, Security, Club house, Playground, Jogging Track",
Kuala Lumpur  KL City,"Parking, Playground, Gymnasium, Multipurpose hall, Jogging Track, Security, Lift, Swimming Pool, Barbeque area",", , Near KTM/LRT"
Kuala Lumpur  Ampang Hilir,"Barbeque area, Multipurpose hall, Swimming Pool, Parking, Security, Gymnasium, Lift, Playground, Minimart",
Kuala Lumpur  Wangsa Maju,"Parking, Playground, Gymnasium, Security, Minimart, Swimming Pool",", Near KTM/LRT, "
Kuala Lumpur  Wangsa Maju,"Parking, Security, Minimart, Playground, Swimming Pool, Gymnasium",", , Near KTM/LRT, "
Kuala Lumpur  Cheras,"Tennis Court, Jogging Track, Barbeque area, Swimming Pool, Lift, Multipurpose hall, Parking, Security, Playground",", , Near KTM/LRT, "
Kuala Lumpur  Mont Kiara,,
Kuala Lumpur  Cheras,"Parking, Gymnasium, Jogging Track, Lift, Barbeque area, Security, Swimming Pool, Playground",", Near KTM/LRT"
Kuala Lumpur  Taman Desa,"Gymnasium, Parking, Security, Tennis Court, Playground, Squash Court, Minimart, Swimming Pool, Lift, Multipurpose hall, Club house, Jogging Track",", "
Kuala Lumpur  Cheras,"Tennis Court, Multipurpose hall, Parking, Security, Jogging Track, Playground, Swimming Pool, Lift, Barbeque area",
Kuala Lumpur  Bangsar South,"Playground, Swimming Pool, Multipurpose hall, Parking, Security, Gymnasium, Barbeque area, Lift, Minimart",", , Near KTM/LRT, , "
Kuala Lumpur  Sungai Besi,"Multipurpose hall, Lift",", , Near KTM/LRT"
Kuala Lumpur  Sri Hartamas,"Security, Playground, Squash Court, Jogging Track, Sauna, Parking, Swimming Pool, Gymnasium, Barbeque area, Club house",
Kuala Lumpur  Cheras,"Multipurpose hall, Tennis Court, Jogging Track, Lift, Parking, Security, Playground, Barbeque area, Swimming Pool",
Kuala Lumpur  Kepong,"Security, Parking",
Kuala Lumpur  Cheras,,
Kuala Lumpur  Ampang,"Swimming Pool, Squash Court, Parking, Gymnasium, Security, Lift",", , Near KTM/LRT, "
Kuala Lumpur  KLCC,"Gymnasium, Tennis Court, Lift, Parking, Playground, Security, Minimart, Jogging Track, Swimming Pool",", , Near KTM/LRT, "
Kuala Lumpur  Cheras,"Lift, Swimming Pool, Security, Barbeque area, Tennis Court, Jogging Track, Playground, Multipurpose hall, Parking, Gymnasium",", , Near KTM/LRT, "
Kuala Lumpur  Cheras,"Security, Playground, Jogging Track, Barbeque area, Swimming Pool, Lift, Parking",", "
Kuala Lumpur  Cheras,"Playground, Tennis Court, Barbeque area, Multipurpose hall, Security, Lift, Jogging Track, Parking, Swimming Pool",", , Near KTM/LRT, , "
Kuala Lumpur  Puchong,"Tennis Court, Squash Court, Parking, Playground, Swimming Pool, Lift, Security, Minimart, Gymnasium",", "
Kuala Lumpur  Jalan Ipoh,"Security, Parking",", Near KTM/LRT"
Kuala Lumpur  Setapak,"Parking, Swimming Pool, Lift, Security, Jogging Track, Tennis Court, Minimart",", Near KTM/LRT"
Kuala Lumpur  Setapak,"Security, Swimming Pool, Gymnasium, Squash Court, Parking, Playground, Tennis Court, Jogging Track, Minimart, Lift",
Kuala Lumpur  City Centre,"Minimart, Swimming Pool, Club house, Playground, Squash Court, Jogging Track, Security, Gymnasium, Parking, Barbeque area, Sauna, Lift",", Near KTM/LRT, , "
Kuala Lumpur  Setapak,,
Kuala Lumpur  Cheras,Lift,
Kuala Lumpur  Taman Desa,"Parking, Minimart, Gymnasium, Squash Court, Security, Swimming Pool, Lift, Playground, Sauna, Barbeque area, Jogging Track, Club house, Tennis Court, Multipurpose hall",", , Near KTM/LRT, , "
Kuala Lumpur  Taman Desa,"Minimart, Gymnasium, Squash Court, Security, Swimming Pool, Lift, Playground, Parking, Sauna, Barbeque area, Multipurpose hall, Tennis Court, Jogging Track, Club house",", , Near KTM/LRT, , "
Kuala Lumpur  Cheras,"Tennis Court, Barbeque area, Security, Jogging Track, Multipurpose hall, Playground, Swimming Pool, Parking, Lift, Gymnasium",", , Near KTM/LRT"
Kuala Lumpur  Setapak,"Security, Minimart, Swimming Pool, Playground, Gymnasium, Tennis Court, Barbeque area, Multipurpose hall, Parking, Squash Court, Jogging Track, Club house, Lift",", "
Kuala Lumpur  Pandan Perdana,"Jogging Track, Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall",", , Near KTM/LRT, "
Kuala Lumpur  Sentul,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track, Tennis Court, Squash Court",", , Near KTM/LRT, , "
Kuala Lumpur  Cheras,"Playground, Parking, Minimart",
Kuala Lumpur  Wangsa Maju,"Parking, Minimart, Playground, Squash Court, Security, Swimming Pool, Gymnasium, Jogging Track",
Kuala Lumpur  Cheras,"Lift, Playground, Multipurpose hall, Swimming Pool, Barbeque area, Security, Jogging Track, Parking, Tennis Court, Gymnasium, Sauna, Minimart, Club house",", , Near KTM/LRT, "
Kuala Lumpur  Pantai,"Parking, Security, Gymnasium, Jogging Track, Barbeque area, Sauna, Playground, Swimming Pool, Multipurpose hall",
Kuala Lumpur  Kepong,"Parking, Lift, Playground",", Near KTM/LRT"
Kuala Lumpur  Setapak,"Parking, Security, Lift, Swimming Pool, Playground, Gymnasium, Sauna, Barbeque area, Minimart, Multipurpose hall, Club house, Jogging Track, Tennis Court, Squash Court",", , Near KTM/LRT, , "
